datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.4130,-55.9660,15.6
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9470,-57.6600,14.5
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6320,-56.8570,17.2
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4170,-57.4810,32.4
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4600,-57.9740,18
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-19.5680,-56.7920,19.6
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2530,-57.2890,15.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.1570,-57.4610,15.6
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-15.8871,-58.5580,1.9
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1920,-59.0713,1.3
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1954,-59.0719,1.3
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4610,-57.9703,1.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4593,-57.9819,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4627,-57.9825,2
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4616,-57.9664,3.6
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4570,-57.9736,1.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4810,-57.9775,0.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4633,-57.9786,2
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4525,-57.9808,3.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4598,-57.4933,1.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4603,-57.4893,1.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4684,-57.9913,1.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4576,-57.9698,1.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4644,-57.9946,2.3
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4690,-57.9874,1.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4730,-57.9841,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4656,-57.9869,2.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4519,-57.9847,2.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4570,-57.9974,4.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4563,-57.4928,1.8
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4713,-57.9957,0.9
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4605,-57.9742,1.7
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4201,-57.4883,8.4
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4667,-57.9791,2
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4650,-57.9908,2.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4559,-57.9814,1.5
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4207,-57.4843,5.4
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4724,-57.9880,1.1
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4248,-57.4808,5.4
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4242,-57.4848,5.4
